"id";"name";"abv";"breweryId";"beerstyleId"
"1013";"Hungarian Terroir: Sopron - Blaufränkisch Russian Imperial Stout 2018";"10.0";"174715";"3"
"1016";"Gose";"5.0";"169467";"171"
"1019";"Winterbier";"7.0";"2245";"375"
"1022";"AXE^X";"6.0";"3461";"36"
"1025";"Kasteel Donker (2007)";"11.0";"303";"597"
"1028";"Kriek Mariage Parfait (2015)";"8.0";"268";"141"
"1031";"Ülo (Cellar Series)";"10.0";"54434";"153"
"1034";"Jack's Precious IPA";"5.0";"299";"96"
"1037";"Tunus";"9.0";"68907";"45"
"1040";"All Black";"7.0";"268142";"432"
"1043";"Porter";"6.0";"169467";"87"
"1046";"Piraat Rum Barrel Aged";"10.0";"7778";"126"
"1049";"The Ginger Unicorn Licks My Bagpipe.";"8.0";"174715";"144"
"1052";"Drink'in The Sun (0.3%)";"0.0";"2813";"114"
"1055";"Sunrise To Sunset";"4.0";"287279";"102"
"1058";"Gulden Draak Calvados Barrel Aged";"10.0";"7778";"78"
"1061";"Houdoe En Bedankt";"6.0";"190702";"369"
"1064";"Patrons Project 10.02 // DDH Raspberry Ripple Donut IPA // Raspberry, Vanilla, Milk Sugar // Huell Melon, Mosaic, Belma, Citra // Temple Coffee & Donuts // Culinary Concepts";"6.0";"71828";"60"
"1067";"SHIPA - Mosaic";"6.0";"68361";"36"
"1070";"White Label Imperial Russian Stout Ardbeg BA";"11.0";"9171";"3"
"1073";"Driftwood";"9.0";"923";"150"
"1076";"Hungarian Terroir: Villány - Spontan Syrah";"8.0";"174715";"39"
"1079";"Sonoy";"5.0";"296656";"339"
"1082";"Berliner Kindl Weisse";"3.0";"1582";"27"
"1085";"Trappistes Rochefort 10 (2018)";"11.0";"1650";"78"
"1088";"Snap Gate";"7.0";"3461";"18"
"1091";"Gose To the Fyrreskov";"3.0";"2241";"796"
"1094";"Northern Powerhouse Brew Series 003";"7.0";"9187";"567"
"1097";"Uit Je Wak IJsbeer";"6.0";"43157";"252"
"1100";"White Label Imperial Saison White Wine BA";"10.0";"9171";"153"
"1103";"Make Earth Great Again";"7.0";"241";"153"
"1106";"Loojang (Cellar Series)";"11.0";"54434";"207"
"1109";"Gingerbread Stout";"9.0";"16167";"75"
"1112";"Don Graper";"7.0";"264526";"18"
"1115";"Siberië";"6.0";"190702";"742"
"1118";"Limited Release 2018 Single Batch BBB01";"12.0";"269";"156"
"1121";"Kerstvuur Oak Aged (2014)";"9.0";"29397";"375"
"1124";"Pizza Hawaii";"5.0";"188723";"195"
"1127";"3Y Anniversary Beer Uiltje Bar";"16.0";"32280";"549"
"1130";"Chocolate Coconut Porter";"5.0";"2047";"63"
"1133";"Barbier Tarwe Tripel";"7.0";"339396";"45"
"1136";"Tankertje Tripel";"8.0";"133734";"45"
"1139";"Naughty Beer";"9.0";"78482";"3"
"1142";"Heavy Mettle";"9.0";"23038";"117"
"1145";"El Dorado Cutting Tiles";"8.0";"23038";"117"
"1148";"Cumaru Spanish Brandy BA";"12.0";"25709";"15"
"1151";"Cheri Mola";"6.0";"620";"751"
"1154";"Cambier Zwaar Blond";"9.0";"166233";"126"
"1157";"Waterloo Double Dark";"8.0";"190031";"165"
"1160";"Helios";"4.0";"6213";"327"
"1163";"Arthur's Legacy No. 7 - Created by Viki Geunes";"7.0";"150230";"126"
"1166";"Bedat Dubbel";"7.0";"68907";"174"
"1169";"DIPA Citra Cryo Amarillo";"8.0";"189896";"117"
"1172";"Festival With Passion Fruit";"11.0";"25709";"15"
"1175";"Code Rood";"8.0";"122896";"384"
"1178";"Kaleidoscope";"6.0";"22837";"36"
"1181";"Naecktslak";"7.0";"10677";"153"
"1184";"Mooi Weer IJsbeer";"8.0";"43157";"45"
"1187";"Chad, King of the Wild Yeast";"5.0";"1950";"153"
"1190";"Winterstout";"8.0";"8569";"15"
"1193";"Brazilian Kriek";"7.0";"25709";"177"
"1196";"Slobberbok";"7.0";"20634";"162"
"1199";"Nutcase";"9.0";"33172";"75"
"1202";"Paradox Grain (2018)";"13.0";"241";"30"
"1205";"Sakura";"5.0";"33349";"216"
"1208";"Maria van Egypte";"8.0";"165945";"45"
"1211";"Dubbel Leckertje";"6.0";"133734";"174"
"1214";"Cheesy name? Dairy U Have It";"6.0";"269726";"33"
"1217";"SURTUR NR.30 (Sheep Dung Smoked)";"9.0";"8614";"15"
"1220";"Stout";"0.0";"308405";"114"
"1223";"Bourbon Barrel Oil Of Aphrodite";"12.0";"5083";"30"
"1226";"3 Fonteinen Oude Kriek (season 16|17)";"5.0";"3562";"141"
"1229";"Mozes De Donkere";"6.0";"165945";"174"
"1232";"Crusher";"8.0";"1244";"117"
"1235";"HNALLÞÓRA NR.T11 (aka.9+1 theme beer)";"10.0";"8614";"700"
"1238";"Toren Weizen";"5.0";"196649";"129"
"1241";"Centennial (50+50=)";"8.0";"190459";"688"
"1244";"Eindbaas";"11.0";"40108";"138"
"1247";"Palm Royale";"7.0";"967";"54"
"1250";"When Hazy Met Sally";"10.0";"264526";"57"
"1253";"Superblond!";"6.0";"312231";"72"
"1256";"Jõuluöö";"8.0";"54434";"279"
"1259";"American Pale Ale";"6.0";"20634";"234"
"1262";"Czarina";"8.0";"6213";"15"
"1265";"Ex-Girlfriend BA Jamaican Rum ";"13.0";"620";"579"
"1268";"Kruidige Winterbok";"7.0";"4058";"162"
"1271";"Konjaks Kaggen! Stormaktsporter";"13.0";"2361";"15"
"1274";"Saison Cinq; Épisode Un";"5.0";"46351";"567"
"1277";"O'Hara's Irish Pale Ale";"5.0";"342";"822"
"1280";"Gruut Bruin";"8.0";"6224";"821"
"1283";"Timequake";"4.0";"13156";"102"
"1286";"East Coast Porter";"7.0";"319787";"279"
"1289";"Ons Dagelijks Brood";"6.0";"620";"189"
"1292";"Triple Broccoli";"10.0";"94785";"57"
"1295";"Brutus";"6.0";"14029";"453"
"1298";"A Moment of Clarity";"4.0";"46351";"745"
"1301";"Blame It On the Monks";"7.0";"620";"132"
"1304";"Red Rooster";"6.0";"239054";"147"
"1307";"Perpetually Green";"7.0";"94785";"117"
"1310";"Den IJzeren Arm";"9.0";"53380";"45"
"1313";"Kielzog ";"8.0";"235742";"45"
"1316";"Grutte Pier Tripel";"7.0";"159152";"45"
"1319";"Hopfenreiter 2018 - Double IPA";"8.0";"209";"117"
"1322";"Wheat Impact";"5.0";"620";"799"
"1325";"Northern Powerhouse Brew Series 002";"6.0";"9187";"438"
"1328";"Mankini";"3.0";"46351";"177"
"1331";"Habbekrats";"1.0";"32280";"745"
"1334";"Pale Ale";"5.0";"1142";"234"
"1337";"Apri-gose in der Hose";"5.0";"620";"703"
"1340";"Hoppy Joe";"4.0";"6826";"282"
"1343";"Jai Alai";"7.0";"379";"36"
"1346";"La Corne du Bois des Pendus Triple";"10.0";"191";"45"
"1349";"Barrel Aged Serie No.4 (Midnightporter Bowmore Barrel Aged)";"12.0";"11568";"3"
"1352";"Gulle";"9.0";"18602";"138"
"1355";"Nemesis";"7.0";"167487";"36"
"1358";"Deugniet (2018)";"7.0";"187";"126"
"1361";"Bitterzoet Verlangen";"6.0";"620";"66"
"1364";"Herfstbok";"7.0";"10733";"162"
"1367";"Gauloise Blonde";"6.0";"187";"72"
"1370";"Bay Ale";"4.0";"24142";"381"
"1373";"Bourbon Barrel Black Maple";"13.0";"5083";"279"
"1376";"Wolf 7";"7.0";"18145";"126"
"1379";"Gose Hell";"4.0";"10730";"171"
"1382";"Beermuda Triangle";"4.0";"122896";"42"
"1385";"What the Fudge!?";"11.0";"2241";"75"
"1388";"Dennentoppen Blond";"6.0";"229838";"66"
"1391";"Viven Experimentum 2017 Batch 1";"6.0";"28007";"570"
"1394";"Life Beyond the Metronome";"6.0";"9187";"270"
"1397";"Mangohallonfeber";"5.0";"167487";"234"
